time_value,geo_value,log_viral_load,region,geo_res,b,sd,eta,viral_activity_level,viral_activity_level_cat,viral_activity_level_num
2023-03-12,Army Base,26.472658822854665,Eastern,sewershed,,,,,,
2023-03-19,Army Base,26.72468071490756,Eastern,sewershed,,,,,,
2023-03-26,Army Base,26.016570661670904,Eastern,sewershed,,,,,,
2023-04-02,Army Base,26.63676884258468,Eastern,sewershed,,,,,,
2023-04-09,Army Base,26.13936623915083,Eastern,sewershed,,,,,,
2023-04-16,Army Base,25.39609467140832,Eastern,sewershed,,,,,,
2023-04-23,Army Base,25.847229816349667,Eastern,sewershed,25.706332666539613,0.49360137363212325,0.28544724009432004,1.3303568840281446,minimal,0.0
2023-04-30,Army Base,,Eastern,sewershed,25.666775758373127,0.47336852168348664,,,,
2023-05-07,Army Base,26.479008050533324,Eastern,sewershed,25.666775758373127,0.47336852168348664,1.7158561563653945,5.561434932584996,high,3.0
2023-05-14,Army Base,26.17430429051211,Eastern,sewershed,25.711889272867264,0.45114140300363126,1.0249890933666432,2.7870650629033005,low,1.0
2023-05-21,Army Base,25.34823865023068,Eastern,sewershed,25.757002787361397,0.4222120260379619,-0.9681489676325903,0.37978538290780905,minimal,0.0
2023-05-28,Army Base,25.49395046141208,Eastern,sewershed,25.391309069290557,0.48234399866657873,0.21279707512744256,1.2371335805960437,minimal,0.0
2023-06-04,Army Base,25.89374983198456,Eastern,sewershed,25.39609467140832,0.4953983155653796,1.004555617045821,2.7306935295048804,low,1.0
2023-06-11,Army Base,26.94186595663814,Eastern,sewershed,25.405880250408696,0.47496172204822873,3.2339147239184793,25.37881380794675,very high,4.0
2023-06-18,Army Base,25.38670493105848,Eastern,sewershed,25.415665829409072,0.5174144702796947,-0.05597233941860652,0.9455652904143482,minimal,0.0
2023-06-25,Army Base,23.4511186653448,Eastern,sewershed,25.38952185316343,0.5343864872456001,-3.6273431946413592,0.02658672641642017,minimal,0.0
2023-07-02,Army Base,26.33273763213137,Eastern,sewershed,25.3636251625618,0.8495227250971996,1.1407728609716559,3.129185856495024,moderate,2.0
2023-07-09,Army Base,26.43369285432128,Eastern,sewershed,25.36747179064458,0.8280308382548581,1.2876586407383654,3.6242908469393096,moderate,2.0
2023-07-16,Army Base,24.695442765194304,Eastern,sewershed,25.37131841872736,0.8113251279581055,-0.8330515476995741,0.4347206892945457,minimal,0.0
2023-07-23,Army Base,26.67130082612705,Eastern,sewershed,25.152399884719767,0.8409050857820769,1.8062691819667656,6.087692937592098,high,3.0
2023-07-30,Army Base,26.07037336766388,Eastern,sewershed,25.217679473223406,0.83706669925021,1.018668996394507,2.7695060871003925,low,1.0
2023-08-06,Army Base,26.634062480986938,Eastern,sewershed,25.28295906172704,0.8154077818608687,1.6569665501309039,5.243381161816289,high,3.0
2023-08-13,Army Base,27.108460235944136,Eastern,sewershed,25.34823865023068,0.8094632007667523,2.174554178678057,8.798261794996886,very high,4.0
2023-08-20,Army Base,25.459464285340907,Eastern,sewershed,25.35208527831346,0.826792174516279,0.1298742420854066,1.1386851756469933,minimal,0.0
2023-08-27,Army Base,25.14811246880322,Eastern,sewershed,25.35593190639624,0.8160710075201548,-0.25465852318970866,0.775181159160306,minimal,0.0
2023-09-03,Army Base,25.310272052306832,Eastern,sewershed,25.208150323231457,0.8164952036853744,0.12507327491261774,1.1332314874628397,minimal,0.0
2023-09-10,Army Base,24.35026988734226,Eastern,sewershed,25.212976302204666,0.8096857813306761,-1.0654829746974095,0.3445614001357986,minimal,0.0
2023-09-17,Army Base,25.77951164229472,Eastern,sewershed,25.212976302204666,0.8096857813306761,0.6996977755481695,2.0131441941207777,low,1.0
2023-09-24,Army Base,26.31051449534666,Eastern,sewershed,25.212976302204666,0.8096857813306761,1.3555112593656353,3.8787434937327334,moderate,2.0
2023-10-01,Army Base,25.253712476738563,Eastern,sewershed,25.212976302204666,0.8096857813306761,0.05031109039231203,1.0515981875886509,minimal,0.0
2023-10-08,Army Base,24.58188806564744,Eastern,sewershed,25.212976302204666,0.8096857813306761,-0.7794236370559269,0.4586702956980294,minimal,0.0
2023-10-15,Army Base,25.95970779977636,Eastern,sewershed,25.212976302204666,0.8096857813306761,0.9222485003311784,2.5149388781431137,low,1.0
2023-10-22,Army Base,25.45065365565875,Eastern,sewershed,25.212976302204666,0.8096857813306761,0.29354270376771957,1.341170451218727,minimal,0.0
2023-10-29,Army Base,26.513226007843663,Eastern,sewershed,25.212976302204666,0.8096857813306761,1.605869505948474,4.982189763552413,high,3.0
2023-11-05,Army Base,26.43699864245578,Eastern,sewershed,25.212976302204666,0.8096857813306761,1.5117251265540288,4.5345467176004775,high,3.0
2023-11-12,Army Base,25.29487923940566,Eastern,sewershed,25.212976302204666,0.8096857813306761,0.10115397736933263,1.1064469964455228,minimal,0.0
