time_value,geo_value,log_viral_load,region,geo_res,b,sd,eta,viral_activity_level,viral_activity_level_cat,viral_activity_level_num
2021-12-12,Atlantic,28.952776955910867,Eastern,sewershed,,,,,,
2021-12-19,Atlantic,30.796496164069637,Eastern,sewershed,,,,,,
2021-12-26,Atlantic,32.3759532442918,Eastern,sewershed,,,,,,
2022-01-02,Atlantic,32.40170574039421,Eastern,sewershed,,,,,,
2022-01-09,Atlantic,31.711942657818508,Eastern,sewershed,,,,,,
2022-01-16,Atlantic,,Eastern,sewershed,,,,,,
2022-01-23,Atlantic,31.061777299832247,Eastern,sewershed,29.690264639174377,1.4396581650878433,0.9526654965167967,2.5926110531406747,low,1.0
2022-01-30,Atlantic,30.915684681334756,Eastern,sewershed,29.87463655999025,1.2899063378049624,0.807072646155116,2.2413371868091736,low,1.0
2022-02-06,Atlantic,29.801217020876848,Eastern,sewershed,30.059008480806128,1.183004409007213,-0.2179125098490718,0.8041957978005058,minimal,0.0
2022-02-13,Atlantic,29.087307848868477,Eastern,sewershed,29.546685001387054,1.1979382458792196,-0.3834731498879728,0.6814903758960448,minimal,0.0
2022-02-20,Atlantic,28.81581110083771,Eastern,sewershed,29.060401670276956,1.2896104553493513,-0.1896623654256802,0.8272383910793104,minimal,0.0
2022-02-27,Atlantic,27.33933102207923,Eastern,sewershed,28.939080370403552,1.3666834188078043,-1.1705339556397258,0.31020126332308406,minimal,0.0
2022-03-06,Atlantic,27.16101748668281,Eastern,sewershed,28.81581110083771,1.6256955552936196,-1.017898836449747,0.36135340566875745,minimal,0.0
2022-03-13,Atlantic,27.503187744418664,Eastern,sewershed,27.486979029955076,1.7949438632037134,0.009030206902770448,1.009071102226179,minimal,0.0
2022-03-20,Atlantic,27.33665005532597,Eastern,sewershed,27.372102366547114,1.8564627366663333,-0.019096699611007562,0.9810844871674139,minimal,0.0
2022-03-27,Atlantic,27.143260765093554,Eastern,sewershed,27.337454345351947,1.9050153883789953,-0.10193806383035825,0.9030854835924672,minimal,0.0
2022-04-03,Atlantic,28.184906229154983,Eastern,sewershed,27.23127051414007,1.9474672216007416,0.48967998251136696,1.6317939337928242,low,1.0
2022-04-10,Atlantic,28.649868436127797,Eastern,sewershed,27.24883377100439,1.9096676260355256,0.7336536714674057,2.082676137819242,low,1.0
2022-04-17,Atlantic,29.18282991552601,Eastern,sewershed,27.266397027868706,1.8582395432654122,1.031316384694748,2.8047555428977438,low,1.0
2022-04-24,Atlantic,30.7837571382922,Eastern,sewershed,27.28396028473302,1.8032796803555537,1.940795369506477,6.964287950643114,high,3.0
2022-05-01,Atlantic,29.412730249303102,Eastern,sewershed,27.301523541597337,1.7827886813504448,1.1842159027544124,3.268123290098343,moderate,2.0
2022-05-08,Atlantic,30.85388896206629,Eastern,sewershed,27.31908679846165,1.7352443571753384,2.037063050508144,7.6680554039903095,high,3.0
2022-05-15,Atlantic,29.871730805204507,Eastern,sewershed,27.33665005532597,1.7195759912979807,1.4742475835365634,4.367748170630084,moderate,2.0
2022-05-22,Atlantic,31.065008320413693,Eastern,sewershed,27.336918152001296,1.680018126490634,2.2190773478140686,9.19883961976802,very high,4.0
2022-05-29,Atlantic,30.58070945098113,Eastern,sewershed,27.33718624867662,1.6728837823229137,1.938881371544325,6.950971066008179,high,3.0
2022-06-05,Atlantic,30.85388896206629,Eastern,sewershed,27.337454345351947,1.6487392382178419,2.132802164953224,8.438479724492925,very high,4.0
2022-06-12,Atlantic,29.6037122876615,Eastern,sewershed,27.33772244202727,1.6326439918639255,1.387926490359505,4.006533847549844,moderate,2.0
2022-06-19,Atlantic,30.656312191724084,Eastern,sewershed,27.33772244202727,1.6326439918639255,2.03264751301238,7.634271459860787,high,3.0
2022-06-26,Atlantic,30.475930499747957,Eastern,sewershed,27.33772244202727,1.6326439918639255,1.922163112938,6.835728942146376,high,3.0
2022-07-03,Atlantic,30.75778165188894,Eastern,sewershed,27.33772244202727,1.5333373174275582,2.2304676022621153,9.304215734774791,very high,4.0
2022-07-10,Atlantic,30.248416948762625,Eastern,sewershed,27.33772244202727,1.5333373174275582,1.8982740938038039,6.674365167719331,high,3.0
2022-07-17,Atlantic,29.760442589913403,Eastern,sewershed,27.33772244202727,1.5333373174275582,1.5800307736269465,4.855105218135295,high,3.0
2022-07-24,Atlantic,30.526933054200327,Eastern,sewershed,27.33772244202727,1.5333373174275582,2.0799145601722624,8.00378504306652,very high,4.0
2022-07-31,Atlantic,30.148717588539537,Eastern,sewershed,27.33772244202727,1.5333373174275582,1.8332529408650942,6.254198141300069,high,3.0
2022-08-07,Atlantic,28.8635813771064,Eastern,sewershed,27.33772244202727,1.5333373174275582,0.9951228067931092,2.7050565201985455,low,1.0
2022-08-14,Atlantic,29.226360103983147,Eastern,sewershed,27.33772244202727,1.5333373174275582,1.2317170139212397,3.4271088810452097,moderate,2.0
2022-08-21,Atlantic,29.488880386861126,Eastern,sewershed,27.33772244202727,1.5333373174275582,1.4029254492043532,4.067080618008788,moderate,2.0
2022-08-28,Atlantic,29.264175554979964,Eastern,sewershed,27.33772244202727,1.5333373174275582,1.256379200491028,3.5126797245798023,moderate,2.0
2022-09-04,Atlantic,30.064634471329,Eastern,sewershed,27.33772244202727,1.5333373174275582,1.778416267776357,5.920472546631042,high,3.0
2022-09-11,Atlantic,29.917476826992708,Eastern,sewershed,27.33772244202727,1.5333373174275582,1.6824441404018173,5.3786861827531105,high,3.0
2022-09-18,Atlantic,29.656534315582828,Eastern,sewershed,27.33772244202727,1.5333373174275582,1.5122646838373242,4.536994025480426,high,3.0
2022-09-25,Atlantic,29.201718200046216,Eastern,sewershed,27.33772244202727,1.5333373174275582,1.2156462487628774,3.3724728166233704,moderate,2.0
2022-10-02,Atlantic,29.170036564066105,Eastern,sewershed,27.33772244202727,1.5333373174275582,1.1949843659403412,3.303506122886133,moderate,2.0
2022-10-09,Atlantic,29.395751912768684,Eastern,sewershed,27.33772244202727,1.5333373174275582,1.3421896456509113,3.827415019348291,moderate,2.0
2022-10-16,Atlantic,27.28288107443965,Eastern,sewershed,27.33772244202727,1.5333373174275582,-0.03576601636463559,0.9648660299340991,minimal,0.0
2022-10-23,Atlantic,29.811438574948387,Eastern,sewershed,27.33772244202727,1.5333373174275582,1.613288938321287,5.019292253076295,high,3.0
2022-10-30,Atlantic,29.279679741515928,Eastern,sewershed,27.33772244202727,1.5333373174275582,1.2664906002200675,3.548378009057048,moderate,2.0
2022-11-06,Atlantic,29.058937151739254,Eastern,sewershed,27.33772244202727,1.5333373174275582,1.1225284157302207,3.0726132337652405,moderate,2.0
2022-11-13,Atlantic,28.812748311307164,Eastern,sewershed,27.33772244202727,1.5333373174275582,0.9619708934981815,2.6168489248204327,low,1.0
2022-11-20,Atlantic,29.452339387398148,Eastern,sewershed,27.33772244202727,1.5333373174275582,1.3790944245187462,3.9713036833913544,moderate,2.0
2022-11-27,Atlantic,30.31204264464284,Eastern,sewershed,27.33772244202727,1.5333373174275582,1.9397690050389644,6.957143719868514,high,3.0
2022-12-04,Atlantic,29.52262592012632,Eastern,sewershed,27.33772244202727,1.5333373174275582,1.4249333484980373,4.157580724521116,moderate,2.0
2022-12-11,Atlantic,30.358873944326938,Eastern,sewershed,27.33772244202727,1.5333373174275582,1.970311077648705,7.172907472514896,high,3.0
2022-12-18,Atlantic,31.342151178977304,Eastern,sewershed,27.33772244202727,1.5333373174275582,2.611577173161195,13.620515832398324,very high,4.0
2022-12-25,Atlantic,31.85639394055705,Eastern,sewershed,27.33772244202727,1.5333373174275582,2.9469520158230043,19.047807742619316,very high,4.0
2023-01-01,Atlantic,30.53792217577592,Eastern,sewershed,28.96125926442283,0.8884978052283694,1.7745265121367881,5.897488086101303,high,3.0
2023-01-08,Atlantic,29.982396373092023,Eastern,sewershed,28.96125926442283,0.8884978052283694,1.149284897115455,3.155935284143576,moderate,2.0
2023-01-15,Atlantic,29.66703309968105,Eastern,sewershed,28.96125926442283,0.8884978052283694,0.7943450519574626,2.212991127854146,low,1.0
2023-01-22,Atlantic,30.64164200197629,Eastern,sewershed,28.96125926442283,0.8884978052283694,1.8912626769196748,6.6277320841262855,high,3.0
2023-01-29,Atlantic,29.76755162459251,Eastern,sewershed,28.96125926442283,0.8884978052283694,0.907478167559954,2.47806538128926,low,1.0
2023-02-05,Atlantic,30.352316543780777,Eastern,sewershed,28.96125926442283,0.8884978052283694,1.5656282673657327,4.7856806785845505,high,3.0
2023-02-12,Atlantic,31.012015790273185,Eastern,sewershed,28.96125926442283,0.8884978052283694,2.308116591602895,10.055468255946478,very high,4.0
2023-02-19,Atlantic,28.86939534697181,Eastern,sewershed,28.96125926442283,0.8884978052283694,-0.10339239659394166,0.9017730513732756,minimal,0.0
2023-02-26,Atlantic,27.01668511579289,Eastern,sewershed,28.96125926442283,0.8884978052283694,-2.1886088375087525,0.11207255134847798,minimal,0.0
2023-03-05,Atlantic,27.61996016856912,Eastern,sewershed,28.96125926442283,0.8884978052283694,-1.509625671510756,0.22099268633677183,minimal,0.0
2023-03-12,Atlantic,28.8188645383246,Eastern,sewershed,28.96125926442283,0.8884978052283694,-0.16026457832569277,0.8519183600123997,minimal,0.0
2023-03-19,Atlantic,28.79729205307047,Eastern,sewershed,28.96125926442283,0.8884978052283694,-0.1845443065672099,0.8314830989214551,minimal,0.0
2023-03-26,Atlantic,29.11035034301563,Eastern,sewershed,28.96125926442283,0.8884978052283694,0.1678012908028281,1.182701573616387,minimal,0.0
2023-04-02,Atlantic,27.95310461509766,Eastern,sewershed,28.96125926442283,0.8884978052283694,-1.134673201658661,0.3215271787158671,minimal,0.0
2023-04-09,Atlantic,28.31411796063499,Eastern,sewershed,28.96125926442283,0.8884978052283694,-0.7283544202132308,0.48270266263000067,minimal,0.0
2023-04-16,Atlantic,28.55130386907224,Eastern,sewershed,28.96125926442283,0.8884978052283694,-0.46140282276242583,0.6303986873043435,minimal,0.0
2023-04-23,Atlantic,27.410374444812923,Eastern,sewershed,28.96125926442283,0.8884978052283694,-1.745513394049728,0.1745553502806134,minimal,0.0
2023-04-30,Atlantic,,Eastern,sewershed,28.96125926442283,0.8884978052283694,,,,
2023-05-07,Atlantic,27.11852743506186,Eastern,sewershed,28.96125926442283,0.8884978052283694,-2.0739857977334375,0.12568383170244046,minimal,0.0
2023-05-14,Atlantic,29.054129450171157,Eastern,sewershed,28.96125926442283,0.8884978052283694,0.10452494671549355,1.1101830889424305,minimal,0.0
2023-05-21,Atlantic,27.324495955675285,Eastern,sewershed,28.96125926442283,0.8884978052283694,-1.8421692199080313,0.1584732895733221,minimal,0.0
2023-05-28,Atlantic,28.22434796120628,Eastern,sewershed,28.96125926442283,0.8884978052283694,-0.8293901221592108,0.43631530422972326,minimal,0.0
2023-06-04,Atlantic,27.76204937833495,Eastern,sewershed,28.96125926442283,0.8884978052283694,-1.349704950345541,0.25931676068031634,minimal,0.0
2023-06-11,Atlantic,27.13999811945873,Eastern,sewershed,28.96125926442283,0.8884978052283694,-2.0498206458664026,0.12875799479559086,minimal,0.0
2023-06-18,Atlantic,27.620970780075044,Eastern,sewershed,28.96125926442283,0.8884978052283694,-1.5084882331288276,0.2212441949109735,minimal,0.0
2023-06-25,Atlantic,26.83251341971077,Eastern,sewershed,28.96125926442283,0.8884978052283694,-2.395893194316792,0.0910912803617151,minimal,0.0
2023-07-02,Atlantic,28.43749698179549,Eastern,sewershed,27.127115708820607,1.260048886035717,1.0399447890450653,2.82906081489048,low,1.0
2023-07-09,Atlantic,28.616837910451316,Eastern,sewershed,27.127115708820607,1.260048886035717,1.182273337281044,3.2617809088721277,moderate,2.0
2023-07-16,Atlantic,28.07570693718999,Eastern,sewershed,27.127115708820607,1.260048886035717,0.7528209729654058,2.1229804477786565,low,1.0
2023-07-23,Atlantic,30.49322199685801,Eastern,sewershed,27.127115708820607,1.260048886035717,2.6714092804983354,14.460333505927121,very high,4.0
2023-07-30,Atlantic,28.267597945000094,Eastern,sewershed,27.127115708820607,1.260048886035717,0.9051095150503226,2.4722026516305755,low,1.0
2023-08-06,Atlantic,28.616837910451316,Eastern,sewershed,27.127115708820607,1.260048886035717,1.182273337281044,3.2617809088721277,moderate,2.0
2023-08-13,Atlantic,27.960324863071147,Eastern,sewershed,27.127115708820607,1.260048886035717,0.6612514510226086,1.9372151479474955,low,1.0
2023-08-20,Atlantic,29.170036564066105,Eastern,sewershed,27.127115708820607,1.260048886035717,1.621302854108146,5.059678046535313,high,3.0
2023-08-27,Atlantic,27.50998278755149,Eastern,sewershed,27.127115708820607,1.260048886035717,0.30385097195350375,1.3550670980388464,minimal,0.0
2023-09-03,Atlantic,28.699174197111947,Eastern,sewershed,27.127115708820607,1.260048886035717,1.2476170613008888,3.4820355860647756,moderate,2.0
2023-09-10,Atlantic,25.34823865023068,Eastern,sewershed,27.127115708820607,1.260048886035717,-1.4117524155642192,0.2437158173224214,minimal,0.0
2023-09-17,Atlantic,28.72294441644586,Eastern,sewershed,27.127115708820607,1.260048886035717,1.266481582826475,3.54834601208019,moderate,2.0
2023-09-24,Atlantic,26.49781738249082,Eastern,sewershed,27.127115708820607,1.260048886035717,-0.499423739272248,0.6068802802386176,minimal,0.0
2023-10-01,Atlantic,26.74913181077173,Eastern,sewershed,27.127115708820607,1.260048886035717,-0.2999755820887763,0.7408363101361158,minimal,0.0
2023-10-08,Atlantic,26.58119899142987,Eastern,sewershed,27.127115708820607,1.260048886035717,-0.4332504265832623,0.6483980953520175,minimal,0.0
2023-10-15,Atlantic,27.1251830336736,Eastern,sewershed,27.127115708820607,1.260048886035717,-0.0015338096548676344,0.9984673660299921,minimal,0.0
2023-10-22,Atlantic,27.425226202948952,Eastern,sewershed,27.127115708820607,1.260048886035717,0.23658645107511694,1.2669170772293459,minimal,0.0
2023-10-29,Atlantic,28.339056908982243,Eastern,sewershed,27.127115708820607,1.260048886035717,0.961820778219618,2.616456125298467,low,1.0
2023-11-05,Atlantic,,Eastern,sewershed,27.127115708820607,1.260048886035717,,,,
2023-11-12,Atlantic,27.360523868230867,Eastern,sewershed,27.127115708820607,1.260048886035717,0.18523738403879975,1.2035040988846444,minimal,0.0
2023-11-19,Atlantic,29.672241444788185,Eastern,sewershed,27.127115708820607,1.260048886035717,2.019862692768123,7.5372899381901,high,3.0
2023-11-26,Atlantic,28.543303826405165,Eastern,sewershed,27.127115708820607,1.260048886035717,1.1239152173215081,3.0768772947070935,moderate,2.0
2023-12-03,Atlantic,28.30396558917097,Eastern,sewershed,27.127115708820607,1.260048886035717,0.933971604905657,2.5445952624151875,low,1.0
2023-12-10,Atlantic,28.502314481871966,Eastern,sewershed,27.127115708820607,1.260048886035717,1.0913852536133888,2.978397051495716,low,1.0
2023-12-17,Atlantic,30.255689708091705,Eastern,sewershed,27.127115708820607,1.260048886035717,2.4828989049099603,11.975931231522017,very high,4.0
2023-12-24,Atlantic,,Eastern,sewershed,27.127115708820607,1.260048886035717,,,,
2023-12-31,Atlantic,29.058937151739254,Eastern,sewershed,27.127115708820607,1.260048886035717,1.533132138227126,4.632664266960316,high,3.0
2024-01-07,Atlantic,29.798931305595996,Eastern,sewershed,26.63157883723243,1.1874606318728544,2.6673326115814397,14.401503510478221,very high,4.0
2024-01-14,Atlantic,30.532442710011296,Eastern,sewershed,26.63157883723243,1.1874606318728544,3.2850469043562756,26.710237111983435,very high,4.0
2024-01-21,Atlantic,29.92254526156317,Eastern,sewershed,26.63157883723243,1.1874606318728544,2.7714320256160843,15.981503553471747,very high,4.0
