time_value,geo_value,log_viral_load,region,geo_res,b,sd,eta,viral_activity_level,viral_activity_level_cat,viral_activity_level_num
2023-11-12,Farmville,22.998479733144325,Central,sewershed,,,,,,
2023-11-19,Farmville,,Central,sewershed,,,,,,
2023-11-26,Farmville,23.19136536841803,Central,sewershed,,,,,,
2023-12-03,Farmville,24.759274822155547,Central,sewershed,,,,,,
2023-12-10,Farmville,23.77726701862438,Central,sewershed,,,,,,
2023-12-17,Farmville,26.94584210501778,Central,sewershed,,,,,,
2023-12-24,Farmville,24.89457144030464,Central,sewershed,23.075633987253806,1.6125877308844945,1.1279618579592938,3.08935353781634,moderate,2.0
2023-12-31,Farmville,25.567452923405,Central,sewershed,23.094922550781178,1.4603566250150353,1.693100390870871,5.4363092877459245,high,3.0
2024-01-07,Farmville,23.53867455636912,Central,sewershed,23.11421111430855,1.4009801257155823,0.30297606245039793,1.3538820554355364,minimal,0.0
2024-01-14,Farmville,25.207397694557446,Central,sewershed,23.133499677835918,1.349323357870016,1.536991118270787,4.650576164514849,high,3.0
2024-01-21,Farmville,25.00823075877716,Central,sewershed,23.15278824136329,1.286585900001249,1.4421442963210376,4.229755949842376,moderate,2.0
2024-01-28,Farmville,24.1604736561316,Central,sewershed,23.172076804890658,1.2219221394593571,0.8088869325816958,2.2454073055087003,low,1.0
