time_value,geo_value,log_viral_load,region,geo_res,b,sd,eta,viral_activity_level,viral_activity_level_cat,viral_activity_level_num
2023-02-19,Low Moor,20.001465090996405,Southwest,sewershed,,,,,,
2023-02-26,Low Moor,19.50349036291281,Southwest,sewershed,,,,,,
2023-03-05,Low Moor,20.222390544033587,Southwest,sewershed,,,,,,
2023-03-12,Low Moor,18.61459600840054,Southwest,sewershed,,,,,,
2023-03-19,Low Moor,19.111170877100427,Southwest,sewershed,,,,,,
2023-03-26,Low Moor,,Southwest,sewershed,,,,,,
2023-04-02,Low Moor,20.243144527244745,Southwest,sewershed,18.813225955880494,0.653455460044094,2.188241829470309,8.919517288336849,very high,4.0
2023-04-09,Low Moor,18.29964241557531,Southwest,sewershed,18.862883442750483,0.6602914343585337,-0.8530188305749515,0.42612658431401323,minimal,0.0
2023-04-16,Low Moor,19.63655233728833,Southwest,sewershed,18.488614571270446,0.7815876497866047,1.468725569462749,4.343695873440918,moderate,2.0
2023-04-23,Low Moor,,Southwest,sewershed,18.52010993055297,0.7273570617118289,,,,
2023-04-30,Low Moor,19.332648844414003,Southwest,sewershed,18.52010993055297,0.7273570617118289,1.1171114664766288,3.056014042878981,moderate,2.0
2023-05-07,Low Moor,,Southwest,sewershed,18.551605289835493,0.6815827290352926,,,,
2023-05-14,Low Moor,20.9856301014139,Southwest,sewershed,18.551605289835493,0.6815827290352926,3.5711362801453443,35.55697288825881,very high,4.0
2023-05-21,Low Moor,,Southwest,sewershed,18.583100649118016,0.8072545197101982,,,,
2023-05-28,Low Moor,,Southwest,sewershed,18.583100649118016,0.8072545197101982,,,,
2023-06-04,Low Moor,,Southwest,sewershed,18.583100649118016,0.8072545197101982,,,,
2023-06-11,Low Moor,18.66754082188389,Southwest,sewershed,18.583100649118016,0.8072545197101982,0.1046016723402022,1.1102682717012788,minimal,0.0
2023-06-18,Low Moor,18.243943565452312,Southwest,sewershed,18.61459600840054,0.8152940772954895,-0.45462423102319494,0.634686418610355,minimal,0.0
