time_value,geo_value,log_viral_load,region,geo_res,b,sd,eta,viral_activity_level,viral_activity_level_cat,viral_activity_level_num
2023-02-19,Lower Jackson,22.74119965317797,Southwest,sewershed,,,,,,
2023-02-26,Lower Jackson,23.71478037108985,Southwest,sewershed,,,,,,
2023-03-05,Lower Jackson,24.628883994904005,Southwest,sewershed,,,,,,
2023-03-12,Lower Jackson,23.73056331919483,Southwest,sewershed,,,,,,
2023-03-19,Lower Jackson,23.832326795807404,Southwest,sewershed,,,,,,
2023-03-26,Lower Jackson,22.94679835237296,Southwest,sewershed,,,,,,
2023-04-02,Lower Jackson,22.786034004270867,Southwest,sewershed,22.843999002775462,0.6792650162035885,-0.08533487979192718,0.9182047446960647,minimal,0.0
2023-04-09,Lower Jackson,21.95566882598691,Southwest,sewershed,22.76810026383371,0.6920537808723587,-1.17394263321949,0.30914568731278874,minimal,0.0
2023-04-16,Lower Jackson,22.559517636307675,Southwest,sewershed,22.50554040502065,0.8379073146944106,0.0644190954541441,1.0665392868773718,minimal,0.0
2023-04-23,Lower Jackson,22.545980341066404,Southwest,sewershed,22.43874787424352,0.8209429150913321,0.13062110026365528,1.1395359296396186,minimal,0.0
2023-04-30,Lower Jackson,23.286739646525497,Southwest,sewershed,22.486949189558455,0.802023489305901,0.9972157519466273,2.710723983909018,low,1.0
2023-05-07,Lower Jackson,20.46082722695193,Southwest,sewershed,22.545980341066404,0.7620795228581428,-2.7361358645278977,0.06482033815002314,minimal,0.0
2023-05-14,Lower Jackson,,Southwest,sewershed,22.014699977494857,1.0648043581766016,,,,
2023-05-21,Lower Jackson,20.03314945207576,Southwest,sewershed,22.014699977494857,1.0648043581766016,-1.8609526813097887,0.15552439458454181,minimal,0.0
2023-05-28,Lower Jackson,20.38919072492492,Southwest,sewershed,20.759795546758927,1.2984345876254921,-0.28542432970131326,0.7516952200281137,minimal,0.0
2023-06-04,Lower Jackson,19.96484102924028,Southwest,sewershed,20.410681675533024,1.3931183196387085,-0.32003071096528873,0.726126736678254,minimal,0.0
2023-06-11,Lower Jackson,22.792657042772746,Southwest,sewershed,20.175565961215426,1.4985045040425282,1.7464686122044817,5.734316782108296,high,3.0
