time_value,geo_value,log_viral_load,region,geo_res,b,sd,eta,viral_activity_level,viral_activity_level_cat,viral_activity_level_num
2021-09-12,Nansemond,28.14384474235721,Eastern,sewershed,,,,,,
2021-09-19,Nansemond,28.319155754664948,Eastern,sewershed,,,,,,
2021-09-26,Nansemond,28.262292892770404,Eastern,sewershed,,,,,,
2021-10-03,Nansemond,,Eastern,sewershed,,,,,,
2021-10-10,Nansemond,,Eastern,sewershed,,,,,,
2021-10-17,Nansemond,28.22434796120628,Eastern,sewershed,,,,,,
2021-10-24,Nansemond,28.25695954679504,Eastern,sewershed,28.167995708011933,0.07354499995041411,1.2096517620924616,3.3523170453849955,moderate,2.0
2021-10-31,Nansemond,28.39648895806812,Eastern,sewershed,28.17604602989684,0.0642890704407788,3.42893320217386,30.843721177766085,very high,4.0
2021-11-07,Nansemond,28.24620675501878,Eastern,sewershed,28.184096351781747,0.08555325417456902,0.7259852805867247,2.0667664419629133,low,1.0
2021-11-14,Nansemond,27.901048253141607,Eastern,sewershed,28.192146673666652,0.07850041719032372,-3.7082404265353093,0.02452063118673237,minimal,0.0
2021-11-21,Nansemond,,Eastern,sewershed,28.07100579559253,0.1475314973832038,,,,
2021-11-28,Nansemond,28.76885411774994,Eastern,sewershed,28.07100579559253,0.1475314973832038,4.730164978565842,113.31425522997237,very high,4.0
2021-12-05,Nansemond,29.19546166243191,Eastern,sewershed,28.09528544451409,0.22948511531616686,4.794107087956804,120.79647298818588,very high,4.0
2021-12-12,Nansemond,29.096588657942945,Eastern,sewershed,28.11956509343565,0.36143495841539197,2.703179484327623,14.927116888966077,very high,4.0
2021-12-19,Nansemond,28.85773340722397,Eastern,sewershed,28.14384474235721,0.40665951185098725,1.7554948158408075,5.786310191648298,high,3.0
2021-12-26,Nansemond,31.86657584670217,Eastern,sewershed,28.15189506424212,0.40627878568159254,9.14318175936291,9350.468793451531,very high,4.0
2022-01-02,Nansemond,30.148717588539537,Eastern,sewershed,28.159945386127024,1.0185706628047067,1.952512746573995,7.046371099022958,high,3.0
2022-01-09,Nansemond,30.49322199685801,Eastern,sewershed,28.167995708011933,1.0491609566020623,2.2162722261194636,9.173071912858795,very high,4.0
2022-01-16,Nansemond,30.082026214040862,Eastern,sewershed,28.17604602989684,1.097960960502592,1.7359270982381387,5.674185893790389,high,3.0
2022-01-23,Nansemond,29.982396373092023,Eastern,sewershed,28.184096351781747,1.0981477612687052,1.63757563848482,5.142686655258045,high,3.0
2022-01-30,Nansemond,29.381958590636348,Eastern,sewershed,28.192146673666652,1.088792688514643,1.0927809577715526,2.9825569149392233,low,1.0
2022-02-06,Nansemond,28.719583068743155,Eastern,sewershed,28.20019699555156,1.0587904593196116,0.4905466125236492,1.6332087083442057,low,1.0
2022-02-13,Nansemond,27.463785196552635,Eastern,sewershed,28.208247317436467,1.032466612871495,-0.7210520045905737,0.48624045960548784,minimal,0.0
