time_value,geo_value,log_viral_load,region,geo_res,b,sd,eta,viral_activity_level,viral_activity_level_cat,viral_activity_level_num
2021-09-12,Pound,24.35292593140037,Southwest,sewershed,,,,,,
2021-09-19,Pound,26.744289186295937,Southwest,sewershed,,,,,,
2021-09-26,Pound,24.70667883846123,Southwest,sewershed,,,,,,
2021-10-03,Pound,25.613614965168164,Southwest,sewershed,,,,,,
2021-10-10,Pound,,Southwest,sewershed,,,,,,
2021-10-17,Pound,23.28049314831404,Southwest,sewershed,,,,,,
2021-10-24,Pound,26.22859737287877,Southwest,sewershed,23.709466261548574,1.3097970747385248,1.923298776517035,6.8434964403396945,high,3.0
2021-10-31,Pound,25.613614965168164,Southwest,sewershed,23.816709539857207,1.2842793939114736,1.3991546028299968,4.051773160978992,moderate,2.0
2021-11-07,Pound,24.586098598183785,Southwest,sewershed,23.923952818165837,1.185157833520943,0.5586983955131128,1.7483952994435672,low,1.0
2021-11-14,Pound,22.506657056503947,Southwest,sewershed,24.03119609647447,1.1198999084811117,-1.3613172288211117,0.2563229185481695,minimal,0.0
2021-11-21,Pound,25.377226187103933,Southwest,sewershed,23.125725929952022,1.3668815368749327,1.647180239407915,5.192318071694244,high,3.0
2021-11-28,Pound,25.19261629979197,Southwest,sewershed,23.20310953913303,1.2995251586712138,1.53094901424859,4.622561618194452,high,3.0
2021-12-05,Pound,22.80645036490508,Southwest,sewershed,23.28049314831404,1.2359688300413878,-0.38353943229546306,0.6814452065702313,minimal,0.0
2021-12-12,Pound,25.285528521923226,Southwest,sewershed,22.853854643245974,1.3280281772803546,1.8310408772026463,6.240378747178854,high,3.0
2021-12-19,Pound,26.54631173242943,Southwest,sewershed,22.90125892158687,1.2801111472281441,2.8474502536246815,17.243758529471688,very high,4.0
2021-12-26,Pound,24.453766965751168,Southwest,sewershed,22.94866319992777,1.316238751957901,1.1434884162045542,3.1376948816572776,moderate,2.0
2022-01-02,Pound,25.888051810869925,Southwest,sewershed,22.996067478268664,1.273991723929929,2.2700181471197087,9.679576468911932,very high,4.0
2022-01-09,Pound,22.36420241643988,Southwest,sewershed,23.04347175660956,1.2560124721286927,-0.540814168046,0.5822739904586907,minimal,0.0
2022-01-16,Pound,24.569149039870013,Southwest,sewershed,22.686533041544624,1.3681956679268108,1.375984475362405,3.958972315753666,moderate,2.0
2022-01-23,Pound,25.194904630309978,Southwest,sewershed,22.716512372384738,1.3284297349657104,1.8656555124379328,6.460169219612823,high,3.0
2022-01-30,Pound,27.41534957945304,Southwest,sewershed,22.74649170322485,1.2944347953586197,3.606869880946528,36.85052556991497,very high,4.0
2022-02-06,Pound,24.076672554772216,Southwest,sewershed,22.776471034064965,1.3884696658618614,0.9364277468029379,2.5508528310432683,low,1.0
2022-02-13,Pound,23.288215194407947,Southwest,sewershed,22.80645036490508,1.366252653200291,0.35261767168348335,1.4227870676481045,minimal,0.0
2022-02-20,Pound,22.08935749074878,Southwest,sewershed,22.853854643245974,1.3766510261576013,-0.5553311173064649,0.573882207402379,minimal,0.0
2022-02-27,Pound,25.20965248694453,Southwest,sewershed,22.566615718184174,1.460743265033935,1.8093780283142062,6.106648088604793,high,3.0
2022-03-06,Pound,25.567452923405,Southwest,sewershed,22.596595049024288,1.4323659924193324,2.0740913217038868,7.957312535681388,high,3.0
2022-03-13,Pound,24.575538837968782,Southwest,sewershed,22.6265743798644,1.4123037774247515,1.3799895527137915,3.974860100776717,moderate,2.0
2022-03-20,Pound,24.81594234206781,Southwest,sewershed,22.6265743798644,1.4123037774247515,1.5502103706014199,4.712461441668853,high,3.0
2022-03-27,Pound,23.08411983806443,Southwest,sewershed,22.6265743798644,1.4123037774247515,0.32397099371520216,1.382607202239564,minimal,0.0
2022-04-03,Pound,20.19901719284828,Southwest,sewershed,22.6265743798644,1.4123037774247515,-1.7188633393324348,0.17926980107906273,minimal,0.0
2022-04-10,Pound,,Southwest,sewershed,22.6265743798644,1.4123037774247515,,,,
2022-04-17,Pound,21.21796207878252,Southwest,sewershed,22.6265743798644,1.4123037774247515,-0.997386202315764,0.36884226136328757,minimal,0.0
2022-04-24,Pound,21.95582609812426,Southwest,sewershed,22.6265743798644,1.4123037774247515,-0.4749320170786557,0.6219273354650076,minimal,0.0
2022-05-01,Pound,21.83840742756573,Southwest,sewershed,22.6265743798644,1.4123037774247515,-0.5580718290903705,0.572311515064665,minimal,0.0
2022-05-08,Pound,,Southwest,sewershed,22.6265743798644,1.4123037774247515,,,,
2022-05-15,Pound,21.1419761718046,Southwest,sewershed,22.6265743798644,1.4123037774247515,-1.0511890089020886,0.34952191727515264,minimal,0.0
2022-05-22,Pound,,Southwest,sewershed,22.6265743798644,1.4123037774247515,,,,
2022-05-29,Pound,26.07037336766388,Southwest,sewershed,22.6265743798644,1.4123037774247515,2.438426521862763,11.455002359241163,very high,4.0
2022-06-05,Pound,25.33838635378767,Southwest,sewershed,22.6265743798644,1.4123037774247515,1.9201336265403817,6.821869991273496,high,3.0
2022-06-12,Pound,29.03466411538305,Southwest,sewershed,22.6265743798644,1.4123037774247515,4.537331017554454,93.44107442363784,very high,4.0
2022-06-19,Pound,26.29541986912417,Southwest,sewershed,22.6265743798644,1.4123037774247515,2.597773614929843,13.433795913366417,very high,4.0
2022-06-26,Pound,22.764486165806048,Southwest,sewershed,22.6265743798644,1.4123037774247515,0.0976502280501723,1.102577067125171,minimal,0.0
2022-07-03,Pound,26.44685093889879,Southwest,sewershed,21.342051148539163,2.2036186938433366,2.3165531335443226,10.140660494276775,very high,4.0
2022-07-10,Pound,24.855227262739817,Southwest,sewershed,21.342051148539163,2.2036186938433366,1.5942758717812995,4.924761621768582,high,3.0
2022-07-17,Pound,22.93483153155329,Southwest,sewershed,21.342051148539163,2.2036186938433366,0.7228021741983657,2.0601981638082383,low,1.0
2022-07-24,Pound,25.733901131042668,Southwest,sewershed,21.342051148539163,2.2036186938433366,1.9930172106335098,7.337639600782309,high,3.0
2022-07-31,Pound,,Southwest,sewershed,21.342051148539163,2.2036186938433366,,,,
2022-08-07,Pound,24.893027038453265,Southwest,sewershed,21.342051148539163,2.2036186938433366,1.611429372892475,5.009967223663679,high,3.0
