time_value,geo_value,log_viral_load,region,geo_res,b,sd,eta,viral_activity_level,viral_activity_level_cat,viral_activity_level_num
2023-03-05,Rocky Mount,24.9955921891026,Southwest,sewershed,,,,,,
2023-03-12,Rocky Mount,23.615947067770723,Southwest,sewershed,,,,,,
2023-03-19,Rocky Mount,23.820366481268675,Southwest,sewershed,,,,,,
2023-03-26,Rocky Mount,23.57093933486396,Southwest,sewershed,,,,,,
2023-04-02,Rocky Mount,23.02882208466827,Southwest,sewershed,,,,,,
2023-04-09,Rocky Mount,20.880970387412567,Southwest,sewershed,,,,,,
2023-04-16,Rocky Mount,22.394885749478043,Southwest,sewershed,21.95489623604042,1.35957140390844,0.32362368918084033,1.3821270998646764,minimal,0.0
2023-04-23,Rocky Mount,22.021433942682517,Southwest,sewershed,21.78931960465185,1.2893022213112388,0.18003097659647418,1.19725444941536,minimal,0.0
2023-04-30,Rocky Mount,21.90670262838461,Southwest,sewershed,21.679294876101533,1.2627689106257287,0.1800865941262306,1.1973210396021001,minimal,0.0
2023-05-07,Rocky Mount,23.30270152407411,Southwest,sewershed,21.701556180190202,1.240262579610194,1.290972871556873,3.6363225102009533,moderate,2.0
2023-05-14,Rocky Mount,20.94440537756185,Southwest,sewershed,21.80412940428741,1.1757380752483808,-0.7312207070813262,0.4813210792798943,minimal,0.0
2023-05-21,Rocky Mount,21.69421690077529,Southwest,sewershed,20.94440537756185,1.2693296798856464,0.5907145598935275,1.8052779338320974,low,1.0
2023-05-28,Rocky Mount,23.288215194407947,Southwest,sewershed,21.019386529883196,1.2495503001783486,1.815716153404085,6.145475705234531,high,3.0
2023-06-04,Rocky Mount,20.52237289456702,Southwest,sewershed,21.09436768220454,1.2081327892616482,-0.4734535745752694,0.622847499308838,minimal,0.0
2023-06-11,Rocky Mount,22.107455775679277,Southwest,sewershed,20.900000884457352,1.3018537569044157,0.9274888863807905,2.528152721336051,low,1.0
2023-06-18,Rocky Mount,22.828618760410748,Southwest,sewershed,20.90634438347228,1.2601828924780132,1.5253931698426118,4.59695059639161,high,3.0
2023-06-25,Rocky Mount,20.954094030825363,Southwest,sewershed,20.91268788248721,1.2195935634715365,0.03395077637200144,1.0345336819736641,minimal,0.0
2023-07-02,Rocky Mount,19.626651550940974,Southwest,sewershed,20.919031381502137,1.2432692646964976,-1.0395011501202474,0.3536310467704985,minimal,0.0
2023-07-09,Rocky Mount,23.02052263984619,Southwest,sewershed,20.773391139558903,1.3790780158588603,1.6294447989498426,5.101041828417676,high,3.0
