time_value,geo_value,log_viral_load,region,geo_res,b,sd,eta,viral_activity_level,viral_activity_level_cat,viral_activity_level_num
2022-06-12,Tazewell,23.90131966729436,Southwest,sewershed,,,,,,
2022-06-19,Tazewell,23.46410586087161,Southwest,sewershed,,,,,,
2022-06-26,Tazewell,23.148068562664704,Southwest,sewershed,,,,,,
2022-07-03,Tazewell,25.01646125791368,Southwest,sewershed,,,,,,
2022-07-10,Tazewell,23.232865099324783,Southwest,sewershed,,,,,,
2022-07-17,Tazewell,22.134252810656672,Southwest,sewershed,,,,,,
2022-07-24,Tazewell,22.80395659802668,Southwest,sewershed,22.64116068666069,0.9508645682674393,0.1712083053663663,1.186737927155249,minimal,0.0
2022-07-31,Tazewell,23.41789301771648,Southwest,sewershed,22.53607508307868,0.905148779537852,0.9742242983391498,2.6491114935886335,low,1.0
2022-08-07,Tazewell,23.41789301771648,Southwest,sewershed,22.60304546181568,0.8380814527074452,0.9722772807683714,2.6439586449349175,low,1.0
2022-08-14,Tazewell,23.31102987217412,Southwest,sewershed,22.67001584055268,0.7840090812570756,0.8176104677175977,2.265080881836677,low,1.0
2022-08-21,Tazewell,25.91622268783662,Southwest,sewershed,22.73698621928968,0.739624986787758,4.298443840242041,73.58519423713298,very high,4.0
2022-08-28,Tazewell,24.50745547086467,Southwest,sewershed,22.80395659802668,1.0367749650873916,1.6430748525012842,5.171045293438274,high,3.0
2022-09-04,Tazewell,,Southwest,sewershed,22.838367794490484,1.021552541844385,,,,
2022-09-11,Tazewell,,Southwest,sewershed,22.838367794490484,1.021552541844385,,,,
2022-09-18,Tazewell,,Southwest,sewershed,22.838367794490484,1.021552541844385,,,,
2022-09-25,Tazewell,24.67258462711825,Southwest,sewershed,22.838367794490484,1.021552541844385,1.7955188377448892,6.022598662836511,high,3.0
2022-10-02,Tazewell,23.94613368308415,Southwest,sewershed,22.872778990954284,1.01537155539318,1.0571053388571952,2.878028004204477,low,1.0
2022-10-09,Tazewell,23.065071643093734,Southwest,sewershed,22.907190187418088,0.976738753337823,0.16164143701283046,1.1754386969400001,minimal,0.0
2022-10-16,Tazewell,23.495854559186192,Southwest,sewershed,22.9084026160535,0.9590343734327212,0.6125452428050046,1.845121710015864,low,1.0
