time_value,geo_value,log_viral_load,region,geo_res,b,sd,eta,viral_activity_level,viral_activity_level_cat,viral_activity_level_num
2021-09-12,Williamsburg,27.7171988121696,Eastern,sewershed,,,,,,
2021-09-19,Williamsburg,27.47670375554419,Eastern,sewershed,,,,,,
2021-09-26,Williamsburg,27.770783058303707,Eastern,sewershed,,,,,,
2021-10-03,Williamsburg,,Eastern,sewershed,,,,,,
2021-10-10,Williamsburg,,Eastern,sewershed,,,,,,
2021-10-17,Williamsburg,26.224524047491137,Eastern,sewershed,,,,,,
2021-10-24,Williamsburg,27.43622203762348,Eastern,sewershed,26.600177959907054,0.7265294604541362,1.1507366503676744,3.1605202507709635,moderate,2.0
2021-10-31,Williamsburg,24.69920216811821,Eastern,sewershed,26.709203243544074,0.6322527380748479,-3.1791101159105075,0.0416226780046109,minimal,0.0
2021-11-07,Williamsburg,26.430376101695288,Eastern,sewershed,25.461863107804675,1.2120256195646923,0.7990862389843387,2.22350824478825,low,1.0
2021-11-14,Williamsburg,27.364448006687,Eastern,sewershed,25.614395295741964,1.1198283503085575,1.5627865739091398,4.772100545541027,high,3.0
2021-11-21,Williamsburg,,Eastern,sewershed,25.766927483679257,1.0543396625085346,,,,
2021-11-28,Williamsburg,27.98869556020036,Eastern,sewershed,25.766927483679257,1.0543396625085346,2.107260264908337,8.225674216544816,very high,4.0
2021-12-05,Williamsburg,28.476889383506155,Eastern,sewershed,25.91945967161655,1.0520553318389156,2.4308889794032074,11.368984381917896,very high,4.0
2021-12-12,Williamsburg,27.07415155366115,Eastern,sewershed,26.071991859553844,1.0947262062303553,0.9154432299179184,2.4978821426802833,low,1.0
2021-12-19,Williamsburg,29.234440956037083,Eastern,sewershed,26.224524047491137,1.0388598428553064,2.897327227774239,18.125634876101042,very high,4.0
2021-12-26,Williamsburg,30.434381496835083,Eastern,sewershed,26.24510925291155,1.1588365535195648,3.615067397727547,37.15384992631826,very high,4.0
2022-01-02,Williamsburg,30.01978390516365,Eastern,sewershed,26.265694458331968,1.4053324069215716,2.6713177810046678,14.45901045326331,very high,4.0
2022-01-09,Williamsburg,29.688983625931257,Eastern,sewershed,26.28627966375238,1.5013072603529056,2.2664940429176488,9.645524669090747,very high,4.0
2022-01-16,Williamsburg,26.513226007843663,Eastern,sewershed,26.3068648691728,1.5317934765839913,0.1347186430974131,1.1442148063242668,minimal,0.0
