geo_value,EW_stdate,log_viral_load,region,geo_res
Alexandria Renew,2021-09-12,28.631652996236454,Northern,sewershed
Alexandria Renew,2021-09-19,27.862132836891934,Northern,sewershed
Alexandria Renew,2021-09-26,28.746162706547867,Northern,sewershed
Alexandria Renew,2021-10-03,27.34200482046363,Northern,sewershed
Alexandria Renew,2021-10-10,28.455196558894897,Northern,sewershed
Alexandria Renew,2021-10-17,26.9237750109891,Northern,sewershed
Alexandria Renew,2021-10-24,27.7171988121696,Northern,sewershed
Alexandria Renew,2021-10-31,29.009787210627646,Northern,sewershed
Alexandria Renew,2021-11-07,28.51064786343111,Northern,sewershed
Alexandria Renew,2021-11-14,28.928484263341822,Northern,sewershed
Alexandria Renew,2021-11-21,28.298850488504204,Northern,sewershed
Alexandria Renew,2021-11-28,29.83378587364038,Northern,sewershed
Alexandria Renew,2021-12-05,28.07570693718999,Northern,sewershed
Alexandria Renew,2021-12-12,30.01056725005872,Northern,sewershed
Alexandria Renew,2021-12-19,31.654585496089602,Northern,sewershed
Alexandria Renew,2021-12-26,30.699074051062166,Northern,sewershed
Alexandria Renew,2022-01-02,30.83782435956248,Northern,sewershed
Alexandria Renew,2022-01-09,31.632884825356484,Northern,sewershed
Alexandria Renew,2022-01-16,30.255689708091705,Northern,sewershed
Alexandria Renew,2022-01-23,27.121860771481618,Northern,sewershed
Alexandria Renew,2022-01-30,29.43273091600977,Northern,sewershed
Alexandria Renew,2022-02-06,28.202000662514283,Northern,sewershed
Alexandria Renew,2022-02-13,28.635322725125416,Northern,sewershed
Alexandria Renew,2022-02-20,27.838035285312873,Northern,sewershed
Alexandria Renew,2022-02-27,27.460232794948265,Northern,sewershed
Alexandria Renew,2022-03-06,27.148134860851798,Northern,sewershed
Alexandria Renew,2022-03-13,27.7171988121696,Northern,sewershed
Alexandria Renew,2022-03-20,28.082096735288765,Northern,sewershed
Alexandria Renew,2022-03-27,28.60180003308677,Northern,sewershed
Alexandria Renew,2022-04-03,28.616837910451313,Northern,sewershed
Alexandria Renew,2022-04-10,29.759252821777814,Northern,sewershed
Alexandria Renew,2022-04-17,29.371487290769053,Northern,sewershed
Alexandria Renew,2022-04-24,29.01481234683032,Northern,sewershed
Alexandria Renew,2022-05-01,29.226360103983147,Northern,sewershed
Alexandria Renew,2022-05-08,29.69280772236966,Northern,sewershed
Alexandria Renew,2022-05-15,30.172623109393093,Northern,sewershed
Alexandria Renew,2022-05-22,30.339071317030758,Northern,sewershed
Alexandria Renew,2022-05-29,29.63250111613867,Northern,sewershed
Alexandria Renew,2022-06-05,30.498920017972655,Northern,sewershed
Alexandria Renew,2022-06-12,30.464234459984763,Northern,sewershed
Alexandria Renew,2022-06-19,30.248416948762625,Northern,sewershed
Alexandria Renew,2022-06-26,29.553808847563005,Northern,sewershed
Alexandria Renew,2022-07-03,30.39103105596147,Northern,sewershed
Alexandria Renew,2022-07-10,29.780455029428417,Northern,sewershed
Alexandria Renew,2022-07-17,30.148717588539537,Northern,sewershed
Alexandria Renew,2022-07-24,29.669640663088128,Northern,sewershed
Alexandria Renew,2022-07-31,30.148717588539537,Northern,sewershed
Alexandria Renew,2022-08-07,29.715450199119424,Northern,sewershed
Alexandria Renew,2022-08-14,30.07336815129775,Northern,sewershed
Alexandria Renew,2022-08-21,28.892318986873754,Northern,sewershed
Alexandria Renew,2022-08-28,29.28924919253208,Northern,sewershed
Alexandria Renew,2022-09-04,29.902115541831222,Northern,sewershed
Alexandria Renew,2022-09-11,29.70293439118759,Northern,sewershed
Alexandria Renew,2022-09-18,28.863470866717968,Northern,sewershed
Alexandria Renew,2022-09-25,29.001602392204752,Northern,sewershed
Alexandria Renew,2022-10-02,29.30926928872906,Northern,sewershed
Alexandria Renew,2022-10-09,29.429246924112462,Northern,sewershed
Alexandria Renew,2022-10-16,29.10264024522351,Northern,sewershed
Alexandria Renew,2022-10-23,29.75950785876371,Northern,sewershed
Alexandria Renew,2022-10-30,29.874777187188478,Northern,sewershed
Alexandria Renew,2022-11-06,28.92040931529371,Northern,sewershed
Alexandria Renew,2022-11-13,29.333350142574115,Northern,sewershed
Alexandria Renew,2022-11-20,30.70833337647496,Northern,sewershed
Alexandria Renew,2022-11-27,30.58553790249296,Northern,sewershed
Alexandria Renew,2022-12-04,30.02549562281856,Northern,sewershed
Alexandria Renew,2022-12-11,30.758002824878673,Northern,sewershed
Alexandria Renew,2022-12-18,31.04216882844387,Northern,sewershed
Alexandria Renew,2022-12-25,31.154257715075527,Northern,sewershed
Alexandria Renew,2023-01-01,30.090127586181076,Northern,sewershed
Alexandria Renew,2023-01-08,31.12791879146581,Northern,sewershed
Alexandria Renew,2023-01-15,29.87869877591899,Northern,sewershed
Alexandria Renew,2023-01-22,30.279379158519077,Northern,sewershed
Alexandria Renew,2023-01-29,30.468026274089812,Northern,sewershed
Alexandria Renew,2023-02-05,29.621295399800132,Northern,sewershed
Alexandria Renew,2023-02-12,28.444738610496422,Northern,sewershed
